mid,bid,created_at,text_preview,reposts,comments,attitudes,media_type,has_video,page_title,is_collab,collab_partner,collab_category,classified_by
5272687569011137,QuuW0BOcV,2026-03-04T02:09:00+00:00,和平精英#想去你的2026# 易泽一雷定乾坤！四人小队夺冠！冠军属于NKG！ 和平精英的微博视频,0,12,9,video,1,和平精英的微博视频,0,,,rule
5272686810111386,QuuUN0sYy,2026-03-04T02:06:00+00:00,和平精英#想去你的2026# 四人小队勇闯总决赛，大好局势下易泽再次失误？ 和平精英的微博视频,0,10,5,video,1,和平精英的微博视频,0,,,gpt
5272686058277486,QuuTzyJlQ,2026-03-04T02:03:01+00:00,和平精英#想去你的2026# PEL职业选手特训？请选择你的最强导师！ 和平精英的微博视频,0,14,12,video,1,和平精英的微博视频,0,,,gpt
5272685308805822,QuuSmAWNo,2026-03-04T02:00:02+00:00,和平精英#想去你的2026# 喝酒一杯倒？！易泽、“伞兵”兄弟坦白局，“伞兵”支持NKG追梦 和平精英的微博视频,0,16,22,video,1,和平精英的微博视频,0,,,gpt
5272685300159687,QuuSm0FxB,2026-03-04T02:00:00+00:00,#和平精英##8倍镜重拳出击# 和平精英安全信息公告请特种兵查收,0,1,0,image,0,#和平精英#,0,,,gpt
5272473920078477,Qupnq0kpL,2026-03-03T12:00:03+00:00,#想去你的2026#「想去你的2026」独家花絮高甜来袭，四人小队温情同框！3月5日即将大结局，把温柔留在2026！ 和平精英的微博视频,5,12,49,video,1,和平精英的微博视频,0,,,gpt
5272443708250072,QuoAGyCdG,2026-03-03T10:00:00+00:00,和平精英#和平精英马上吃鸡##圈住马年好运势#元宵的汤圆可以有各种馅，但特种兵的脑洞——必须在线！海岛灯谜大会今日开张，看看谁能吃到“决赛圈”？猜谜时间：3月3日-3月9日双重福利派送中福利一：转发有,120,216,82,image,0,【超话】和平精英,0,,,gpt
5272353124914692,QumeAkCxe,2026-03-03T04:00:03+00:00,和平精英#和平精英马上吃鸡##圈住马年好运势#新的一年，把“让”字贯彻到底！别问，问就是：我真是个谦让的好队友！你学会了吗？ 和平精英的微博视频,2,3,16,video,1,和平精英的微博视频,0,,,gpt
5272323671466811,Qult569Af,2026-03-03T02:03:01+00:00,和平精英#想去你的2026# “伞兵”、易泽对掏战，打仗还得亲兄弟！ 和平精英的微博视频,4,15,27,video,1,和平精英的微博视频,0,,,gpt
5272322917007767,QulrRtp2v,2026-03-03T02:00:00+00:00,和平精英#想去你的2026# “易泽”赛场骚操作，遭PEL电竞选手集体吐槽 和平精英的微博视频,1,19,27,video,1,和平精英的微博视频,0,,,gpt
5272111524086480,QufWUh94Y,2026-03-02T12:00:00+00:00,#想去你的2026##和平新春短剧专场直播#《想去你的2026》新春短剧专场直播精彩回顾，易泽、韩澈名场面大盘点！来看@古子成_ @解鑫豪 的线下互动名场面吧！ 和平精英的微博视频,4,14,82,video,1,和平精英的微博视频,0,,,gpt
5272081324311337,Qufaci5zH,2026-03-02T10:00:01+00:00,和平精英#和平精英马上吃鸡##圈住马年好运势#年味渐散，但情谊不散！虽然画面里只剩自己，但回忆里全是你们~ 和平精英的微博视频,0,3,15,video,1,和平精英的微博视频,0,,,gpt
5272058671401202,QuezF5Sw2,2026-03-02T08:30:00+00:00,#和平精英神装逸闻录##和平精英#新皮肤爆料丨悬念海报抢先看！3月6日0点新神装来袭，霜狼环侍，冠冕为主！朔风凛冽，冷月如钩冰封千里，寒夜雪中微现孤影群狼踏遍这苦寒绝境唯有他的足迹，从未被风雪抹平3月,4,28,99,image,0,#和平精英神装逸闻录#,0,,,gpt
5271975623922052,QucpIgsiU,2026-03-02T03:00:00+00:00,#和平精英##8倍镜重拳出击# 和平精英外挂作弊封号公告请特种兵查收,1,9,14,image,0,#和平精英#,0,,,gpt
5271961283857518,Quc2Agbw2,2026-03-02T02:03:01+00:00,和平精英#想去你的2026# 最帅PEL电竞选手“伞兵”，竟是易泽哥哥？ 和平精英的微博视频,2,29,143,video,1,和平精英的微博视频,0,,,gpt
5271960529407649,Quc1mDtmh,2026-03-02T02:00:01+00:00,和平精英#想去你的2026# 友谊升温！四人小队嗨翻cosplay派对 和平精英的微博视频,6,29,48,video,1,和平精英的微博视频,0,,,gpt
5271719042617400,Qu5JSaYU8,2026-03-01T10:00:26+00:00,#和平精英新皮肤##和平精英绶带小兔#新皮肤爆料丨绥带小兔，活力庆典！全新套装-【绶带小兔】将于3月3日上线~动作-俏皮兔兔同步来袭~清爽蓝白配色结合庆典绶带打造元气满满的现代幻想偶像造型金色波浪卷发,8,21,64,video,1,和平精英的微博视频,0,,,gpt
5271628340794033,Qu3nA3kyZ,2026-03-01T04:00:01+00:00,#和平精英##QQ脑洞##QQAI社交玩法# 当特种兵遇上脑洞，还能这样神操作？和平精英四大人气皮肤入驻QQ脑洞秀，千金淑猫、梦幻火箭、甜梦小狐、小番茄当你的专属演员，一句话生成专属名场面！还能艾特好,3,9,12,video,1,和平精英的微博视频,1,QQ,Brand,gpt
5271598894425095,Qu2C5izav,2026-03-01T02:03:01+00:00,和平精英#想去你的2026# 派对陷阱！韩澈被迫穿女装？ 和平精英的微博视频,1,21,34,video,1,和平精英的微博视频,0,,,gpt
5271598140493863,Qu2AS24tx,2026-03-01T02:00:01+00:00,和平精英#想去你的2026# 易泽顶着手伤训练，遭韩澈怒斥 和平精英的微博视频,1,20,30,video,1,和平精英的微博视频,0,,,gpt
5271236506552210,QtTbAruwO,2026-02-28T02:03:01+00:00,和平精英#想去你的2026# 晴天霹雳！队长手骨裂了！ 和平精英的微博视频,7,29,45,video,1,和平精英的微博视频,0,,,gpt
5271235751578130,QtTan6CxI,2026-02-28T02:00:01+00:00,和平精英#想去你的2026# 丁凡为胜利不择手段，易泽受伤，艰难重返赛场 和平精英的微博视频,7,33,38,video,1,和平精英的微博视频,0,,,gpt
5271032097146771,QtNRTtZcv,2026-02-27T12:30:46+00:00,#和平精英歼灭模式##和平精英#歼灭大师竞技场现已全面开启！特种兵集结，解锁歼灭团竞全新竞技体验，核心 1v1 车轮战燃爆战场！加时赛全新规则上线，四人随机排序开启擂台单挑，赢下对决即可连战到底，一人,2,21,24,video,1,和平精英的微博视频,0,,,gpt
5270994157308981,QtMSHuFoN,2026-02-27T10:00:00+00:00,#和平精英##和平精英丝路贺新春# 【轻松月】地铁&古墓物资、汤姆逊-像素花束、海量服饰币等福利轻松领，统统打包带走~轻松月开启，好礼轻松领！地铁&古墓物资、全新像素风枪皮肤苏尔南钻、最高1296个服,4,15,22,image,0,#和平精英#,1,Metro Exodus,Game,rule
5270948858824428,QtLHDB1Du,2026-02-27T07:00:00+00:00,#和平精英新皮肤##和平精英暮夜私语#新皮肤爆料丨暮色缱绻，丝滑入梦！全新套装-【暮夜私语】将于2月28日上线~虫鸣低语，晚风摇曳粉紫渐变裙在月光下泛起细腻珠光仿佛被云朵轻轻包裹珍珠蝴蝶结暗藏设计小心,8,37,122,image,0,#和平精英新皮肤#,0,,,gpt
5270874118687280,QtJL5ArXq,2026-02-27T02:03:01+00:00,和平精英#想去你的2026# NKG战队正式成立！复活赛名额争夺赛一触即发！ 和平精英的微博视频,6,20,33,video,1,和平精英的微博视频,0,,,gpt
5270873365288300,QtJJSmbJa,2026-02-27T02:00:01+00:00,和平精英#想去你的2026# 师父掉马！易泽、韩澈雨夜和解 和平精英的微博视频,6,29,55,video,1,和平精英的微博视频,0,,,gpt
5270631769179086,QtDscCvTM,2026-02-26T10:00:00+00:00,《想去你的2026》苏尔南剧照奉上！易泽@古子成_ × 韩澈@解鑫豪 ｜师徒出征，勇闯赛季末苏尔南！从宿敌到队友——多场鏖战淬炼出的默契，让他们成为彼此最锋利的刃、最坚实的盾。地铁激战中敢将后背相托，,20,40,202,image,0,#想去你的2026#,1,Metro Exodus,Game,rule
5270571373824502,QtBSNg2Vw,2026-02-26T06:00:01+00:00,#想去你的2026##和平精英地铁逃生#不求人抓包鲨鱼！原来你也玩苏尔南？苏尔南不相信眼泪，实验基地没有懦夫！这次真的来不及了～ 和平精英的微博视频,3,10,49,video,1,和平精英的微博视频,1,Metro Exodus,Game,rule
5270511732133761,QtAkB8X5v,2026-02-26T02:03:01+00:00,和平精英#想去你的2026# 一休示爱铁牛，遭武子弈盲狙！韩澈、易泽靠平底锅夺得苏尔南钻 和平精英的微博视频,4,19,27,video,1,和平精英的微博视频,0,,,gpt
5270510977944944,QtAjnxkQg,2026-02-26T02:00:01+00:00,和平精英#想去你的2026# 不求人鲨鱼“捡垃圾”，易泽、韩澈苏尔南大杀四方 和平精英的微博视频,5,50,62,video,1,和平精英的微博视频,0,,,gpt
5270314682424461,QtvcMaaId,2026-02-25T13:00:01+00:00,#想去你的2026#「想去你的 2026」独家片场花絮来袭！少年同框，热血与可爱并存！戏里高燃，戏外默契，谁被狠狠治愈了～ 和平精英的微博视频,11,24,139,video,1,和平精英的微博视频,0,,,gpt
5270239182071518,Qttf08GTA,2026-02-25T08:00:00+00:00,#想去你的2026##和平新春短剧专场直播##和平精英丝路敦煌#2月27日19点，@古子成_ @解鑫豪 做客和平精英直播间，与一众参演大神游戏互动，复刻短剧名场面，更有主演签名照送不停。,33,50,191,image,0,#想去你的2026#,0,,,gpt
5270178784348501,QtrFAiff7,2026-02-25T04:00:00+00:00,和平精英#特种兵的年夜饭##马上吃鸡有年味##和平精英马上吃鸡#【特种兵的年夜饭】获奖名单公示感谢各位特种兵的积极参与和用心分享！鸡仔这次收到了许多创意年夜饭拼图，每一张拼图都藏着独属于特种兵的年味记,2,6,19,image,0,【超话】和平精英,0,,,gpt
5270151610241258,QtqXL10Lg,2026-02-25T02:12:01+00:00,和平精英#想去你的2026# 易泽震惊，徒弟的愿望是上战神？来！师父带你体验“真正的战场” 和平精英的微博视频,3,15,21,video,1,和平精英的微博视频,0,,,gpt
5270150854215343,QtqWxhGBp,2026-02-25T02:09:01+00:00,和平精英#想去你的2026# 嘴硬心软第一人，韩澈默默帮易泽申请复活赛名额！ 和平精英的微博视频,4,14,18,video,1,和平精英的微博视频,0,,,gpt
5270150096097697,QtqVjpAhX,2026-02-25T02:06:00+00:00,和平精英#想去你的2026# 易泽隐藏身份收韩澈为徒！不靠谱师父上线 和平精英的微博视频,1,15,10,video,1,和平精英的微博视频,0,,,gpt
5270149343216271,QtqU6duHl,2026-02-25T02:03:01+00:00,和平精英#想去你的2026# 黑历史+1！高冷学霸竟然在线跳舞 和平精英的微博视频,4,20,25,video,1,和平精英的微博视频,0,,,gpt
5270148588243460,QtqSSyAv2,2026-02-25T02:00:01+00:00,和平精英#想去你的2026# 易泽组建新战队，队友三缺一！ 和平精英的微博视频,6,25,36,video,1,和平精英的微博视频,0,,,gpt
5269788462680797,Qthw2bfoF,2026-02-24T02:09:00+00:00,和平精英 #想去你的2026#天选队友！妹子组队吗？一辈子的那种！ 和平精英的微博视频,121,26,33,video,1,和平精英的微博视频,0,,,gpt
5269787711374138,QthuP5Ltw,2026-02-24T02:06:01+00:00,和平精英 #想去你的2026# 人美枪刚，网吧偶遇萌妹战神！ 和平精英的微博视频,67,17,22,video,1,和平精英的微博视频,0,,,gpt
5269786952473433,QthtBans5,2026-02-24T02:03:00+00:00,和平精英 #想去你的2026# wuli小光勇敢追爱，易泽韩澈转角再相遇 和平精英的微博视频,112,16,26,video,1,和平精英的微博视频,0,,,gpt
5269786200379462,Qthso1AIm,2026-02-24T02:00:01+00:00,和平精英 #想去你的2026# 电竞社矛盾爆发！昔日队友大打出手，易泽小光愤然退社 和平精英的微博视频,131,21,33,video,1,和平精英的微博视频,0,,,gpt
5269552157954119,QtbmTxnef,2026-02-23T10:30:01+00:00,#和平精英新皮肤##和平精英霓裳阁主#新皮肤爆料丨霓幻时空，醉梦人生！全新角色-【霓裳阁主】将于2月24日上线~赛博夜色里，霓裳阁静候来客一杯电子酒，就能让人坠入美梦霓裳身姿绝美，双腿如琉璃般通透她神,109,47,76,video,1,和平精英的微博视频,0,,,gpt
5269544612663067,QtbaJbaMH,2026-02-23T10:00:02+00:00,#和平精英新皮肤##和平精英晶灵猫步#新皮肤爆料丨晶灵秀场，璀璨流光！全新系列角色-【晶灵猫步】将于2月27日上线~现代都市里，流传着晶石守护者的传说三位少女身怀力量悄悄帮助人们突破自我她们用光芒照亮,81,51,110,video,1,和平精英的微博视频,0,,,gpt
5269426074033574,Qt85xgVjE,2026-02-23T02:09:00+00:00,和平精英 #想去你的2026# 电竞&面试双双失败？易泽韩澈决裂，分道扬镳 和平精英的微博视频,66,15,27,video,1,和平精英的微博视频,0,,,gpt
5269425319062726,Qt84jC1D0,2026-02-23T02:06:00+00:00,和平精英 #想去你的2026# 易泽自雷真相揭秘，韩澈泪洒电竞赛场 和平精英的微博视频,44,14,23,video,1,和平精英的微博视频,0,,,gpt
5269424564084659,Qt836h8BB,2026-02-23T02:03:00+00:00,和平精英 #想去你的2026# 战神很绝望！队友千里送人头，这把比分怎么追？ 和平精英的微博视频,79,14,20,video,1,和平精英的微博视频,0,,,gpt
5269423812251761,Qt81T9rMJ,2026-02-23T02:00:01+00:00,和平精英 #想去你的2026# 团灭！平底锅刚枪惨遭淘汰，NK战队赛场内讧！ 和平精英的微博视频,93,21,39,video,1,和平精英的微博视频,0,,,gpt
5269197317214629,Qt28zugQZ,2026-02-22T11:00:00+00:00,#和平精英新皮肤##和平精英大漠长歌#新皮肤爆料丨大漠聚锋，竞起长歌！全新套装-【大漠长歌】将于2月26日正式上线！大漠孤烟，长河落日唯有强者共鸣蓝发狼尾，写尽清冷红棕战裙，燃烧荒芜当废土机能与民族风,95,22,47,image,0,#和平精英新皮肤#,0,,,gpt
5269136922117802,Qt0za8SW6,2026-02-22T07:00:01+00:00,#想去你的2026##和平精英丝路敦煌#「想去你的2026」独家片场花絮来袭！互坑名场面笑疯，神操作直接封神！不求人×鲨鱼搞笑高光一次看爽！ 和平精英的微博视频,47,8,29,video,1,和平精英的微博视频,0,,,gpt
5269091624685930,QsZo6jF1w,2026-02-22T04:00:01+00:00,#和平集市#和平集市首发上新，《想去你的2026》主角同款套装将于2月23日17点上线！亲爱的特种兵们，本期和平集市活动将在2月23日17:00正式开启！本期新品为和平精英新春贺岁短片《想去你的202,56,7,26,image,0,#和平集市#,0,,,gpt
5269063687214906,QsYF2ugVs,2026-02-22T02:09:00+00:00,和平精英 #想去你的2026# 菜鸡韩澈出战电竞比赛，海岛战神变苟分老六 和平精英的微博视频,31,17,33,video,1,和平精英的微博视频,0,,,rule
5269062931193802,QsYDP50yS,2026-02-22T02:06:00+00:00,和平精英 #想去你的2026# 教授震惊！学霸韩澈面试，大谈电竞？！ 和平精英的微博视频,15,14,20,video,1,和平精英的微博视频,0,,,gpt
5269062179356891,QsYCBDg9B,2026-02-22T02:03:00+00:00,和平精英 #想去你的2026#小痣一点，口罩一戴！易泽韩澈上演《替身风云》 和平精英的微博视频,144,18,36,video,1,和平精英的微博视频,0,,,gpt
5269061426744108,QsYBosirW,2026-02-22T02:00:01+00:00,和平精英 #想去你的2026#战神局？不求人和鲨鱼因抢人机自雷？！ 和平精英的微博视频,162,27,50,video,1,和平精英的微博视频,0,,,gpt
5268850029103672,QsT6qCchq,2026-02-21T12:00:00+00:00,#想去你的2026##和平精英丝路敦煌#和平精英贺岁短片《想去你的2026》送定制邀请框、聊天框等好礼！和平精英贺岁短片《想去你的2026》新春期间各平台高燃热播中不仅有特种兵的青春追梦之旅鸡仔还准备,92,23,51,image,0,#想去你的2026#,0,,,gpt
5268834929345360,QsSI4Dd9C,2026-02-21T11:00:00+00:00,#和平精英新皮肤##和平精英绿野诗集#新皮肤爆料丨绿野漫步，暖阳诗集！全新套装-【绿野诗集】将于2月22日上线~阳光透过玻璃洒在木质吧台上轻柔舒缓的爵士乐在空中静静流淌早春经典复古look休闲雅致又充,55,14,41,image,0,#和平精英新皮肤#,0,,,gpt
5268729237080172,QsPXBtHSk,2026-02-21T04:00:01+00:00,和平精英#和平精英马上吃鸡##马上吃鸡有年味#鼠鼠请客却被爆头？齐涛：这请客方式对嘛？鼠鼠解锁花式请客开箱，主打一个开金仪式感！🧧新年接欧气！把把开箱都出金✨ 和平精英的微博视频,119,12,23,video,1,和平精英的微博视频,0,,,gpt
5268702808518537,QsPgYzK3L,2026-02-21T02:15:00+00:00,和平精英 #想去你的2026# 易泽韩澈海岛双排！黄金大衣惨遭队友的燃烧瓶攻击！ 和平精英的微博视频,31,19,55,video,1,和平精英的微博视频,0,,,gpt
5268702056678948,QsPfLs1uY,2026-02-21T02:12:01+00:00,和平精英 #想去你的2026# 韩澈崩溃！易泽——别用我的脸做浮夸行为！ 和平精英的微博视频,18,18,48,video,1,和平精英的微博视频,0,,,gpt
5268701299348069,QsPexDdRj,2026-02-21T02:09:00+00:00,和平精英 #想去你的2026# 和死对头灵魂互换了怎么办？在线等挺急的！ 和平精英的微博视频,14,18,49,video,1,和平精英的微博视频,0,,,gpt
5268700543849963,QsPdkg9yb,2026-02-21T02:06:00+00:00,和平精英 #想去你的2026# 这不科学！学霸和战神竟然互换了？！ 和平精英的微博视频,15,17,48,video,1,和平精英的微博视频,0,,,gpt
5268699789398679,QsPc6Dr1B,2026-02-21T02:03:00+00:00,和平精英 #想去你的2026# 赛场神反转！明星选手一雷灭队，重大失误还是另有隐情? 和平精英的微博视频,113,20,82,video,1,和平精英的微博视频,0,,,gpt
5268699033381997,QsPaTebOl,2026-02-21T02:00:00+00:00,和平精英 #想去你的2026# 什么情况！敦煌决赛圈，海岛战神自雷成盒？ 和平精英的微博视频,180,47,201,video,1,和平精英的微博视频,0,,,gpt
5268457441462912,QsITe68zm,2026-02-20T10:00:00+00:00,#和平精英新皮肤##和平精英小财神当家#新皮肤爆料丨财神当家，马上暴富！全新系列外观 -【小财神当家】将于2月21日上线~财神驾到，马上相迎新中式过年装喜庆又时髦头戴财神帽好似财神附体金饼、金元宝、红,81,35,60,image,0,#和平精英新皮肤#,0,,,gpt
5268442376307421,QsIuVqsQB,2026-02-20T09:00:08+00:00,#想去你的2026##2026和平精英新春贺岁片##和平精英丝路贺新春#《想去你的2026》倒计时1天大吉大利，今晚吃鸡！和平精英高燃电竞剧《想去你的2026》上线倒计时1天！大年初五记得和@古子成_,64,95,389,image,0,#想去你的2026#,0,,,gpt
5268381947136368,QsGVstWuI,2026-02-20T05:00:01+00:00,#想去你的2026##和平精英丝路敦煌#前一秒：爱情来了！后一秒：电竞社来了... 和平精英的微博视频,48,31,114,video,1,和平精英的微博视频,0,,,gpt
5268366848690881,QsGx6AsTv,2026-02-20T04:00:01+00:00,#和平精英##我要成为和平精英高手##打歌舞#怼友，你要来一起跳舞嘛？小番茄带你回顾2025年度热舞！上号来一起摇摆吧 和平精英的微博视频,20,12,21,video,1,和平精英的微博视频,0,,,gpt
5268351752602078,QsG8LaUV0,2026-02-20T03:00:02+00:00,#想去你的2026##和平精英丝路贺新春#战神如我却也带不动拖油瓶！你在和平精英里还遇到过哪种类型的队友？@古子成_ @解鑫豪 和平精英的微博视频,52,64,349,video,1,和平精英的微博视频,0,,,gpt
5268095054119720,QszsJhhJ6,2026-02-19T10:00:00+00:00,#和平精英新皮肤##和平精英整点薯条#新皮肤爆料丨放下烦恼，整点薯条！全新套装 -【整点薯条】将于2月20日上线~碧海蓝天，追风踏浪斜挎小包，自在逍遥世俗纷纷扰扰不如放下烦恼一起整点薯条全新套装 -【,83,42,45,image,0,#和平精英新皮肤#,0,,,gpt
5268079954100823,Qsz4nhcOj,2026-02-19T09:00:00+00:00,#想去你的2026# #2026和平精英新春贺岁片#  #和平精英丝路贺新春# 来《想去你的2026》一起参加cosplay party吧～四人小队cos剧照来袭！和平精英新春短片《想去你的2026》,113,149,928,image,0,#想去你的2026#,0,,,gpt
5268019559530991,QsxuXDZrF,2026-02-19T05:00:01+00:00,#想去你的2026##和平精英丝路敦煌#本以为双向奔赴，结果半路杀出个易泽！ 和平精英的微博视频,53,38,114,video,1,和平精英的微博视频,0,,,gpt
5267989366571049,QswIgrzqF,2026-02-19T03:00:01+00:00,#想去你的2026##和平精英丝路敦煌#敦煌遇新春，空投接好运！易泽｜韩澈｜夏子光｜夏朵四人最飒拜年团来啦✨马年祝大家：马上吃鸡，应有尽有！ 和平精英的微博视频,55,69,199,video,1,和平精英的微博视频,0,,,gpt
5267717566235884,QspDSqaeM,2026-02-18T09:00:00+00:00,#想去你的2026# #2026和平精英新春贺岁片# #和平精英丝路贺新春# 《想去你的2026》校园双强剧照来袭 灵魂互换，双强校园电竞追梦，和平精英携手@古子成_ @解鑫豪 为大家带来的高燃电竞剧,93,107,1258,image,0,#想去你的2026#,1,"古子成, 解鑫豪",Artist,gpt
5267702467007279,QspfwtoUD,2026-02-18T08:00:00+00:00,#和平精英##马上游福##微博开新年#和平精英新版本「丝路贺新春」现已上线！国风主题海岛-丝路敦煌，全新玩法-古墓迷途，更有新春活动海量福利送不停，年味直接拉满！大吉大利，马上吃鸡。来App Stor,51,14,18,image,0,#和平精英#,0,,,gpt
5267657172718415,Qso4tbpbp,2026-02-18T05:00:01+00:00,#想去你的2026##和平精英丝路敦煌#《想去你的2026》终极预告启映，以热爱为刃，赴山海之约！2月21日大年初五，和搭子一起锁定正片，看少年们在赛场与青春里书写最燃的追梦故事～ 和平精英的微博视频,513,210,432,video,1,和平精英的微博视频,0,,,gpt
5267634519802808,QsntVF89O,2026-02-18T03:30:00+00:00,#和平精英##HIT安全系统##反诈#警惕扫码骗局！春节防骗不松懈,26,7,13,image,0,#和平精英#,0,,,gpt
5267626970582198,QsnhL2rsi,2026-02-18T03:00:00+00:00,#想去你的2026##和平精英丝路敦煌#理想中的队友 vs 我现实中的队友 和平精英的微博视频,35,37,137,video,1,和平精英的微博视频,0,,,gpt
5267370283110248,QsgBKd37i,2026-02-17T10:00:01+00:00,#和平精英##我要成为和平精英高手#家人从来不会在乎你强不强，家人要的，是在一起吃鸡。 和平精英的微博视频,259,68,191,video,1,和平精英的微博视频,0,,,gpt
5267355179158668,QsgdnCqAs,2026-02-17T09:00:00+00:00,#想去你的2026##2026和平精英新春贺岁片##和平精英丝路贺新春#《想去你的2026》演员剧照第四弹！与君相逢，共赴荣光，和平精英携手@古子成_ @解鑫豪 @许栋铭_EP @小樱吴芊盈 为大家带,81,120,440,image,0,#想去你的2026#,0,,,gpt
5267340079662607,QsfP1ExGv,2026-02-17T08:00:00+00:00,和平精英#和平精英马上吃鸡##马上吃鸡有年味#和平麻将一等三，别让鸡仔的等待成为遗憾~春节组局，来和鸡仔一起成为胡遍全场的 “无敌战神”！关注@和平精英，快来评论区聊聊你的春节牌桌目标~鸡仔将在评论区,204,448,177,image,0,抽奖详情,0,,,gpt
5267287233793292,QserNfUO8,2026-02-17T04:30:01+00:00,#和平精英新皮肤##和平精英绯影武装#新皮肤爆料丨绯影闪耀，武装出击！全新角色-【绯影武装】将于2月18日上线~动作-尽情轰炸同步上线科技感十足的【绯影武装】因其粉嫩涂装常被敌人轻视但这正是她的战术伪,17,22,80,video,1,和平精英的微博视频,0,,,gpt
5267279685096883,QsefClnVN,2026-02-17T04:00:01+00:00,和平精英#和平精英古墓迷途##和平精英马上吃鸡##马上吃鸡有年味#特种兵的春节旅行！春节旅行去哪里？你的旅行我的旅行好像不一样。逃离日常，奔赴古墓之约NPC贴贴、“巨无霸”安保、萌宠相伴沙渊古城，不一,94,5,5,video,1,和平精英的微博视频,0,,,gpt
5267272136131350,Qse3rpJ2K,2026-02-17T03:30:01+00:00,#想去你的2026##和平精英丝路敦煌#和平精英新春贺岁片《想去你的2026》，2月21日大年初五，欢乐上线！让我们一起勇闯海岛，快乐吃鸡～ 和平精英的微博视频,61,81,280,video,1,和平精英的微博视频,0,,,gpt
5267264586908888,QsdRgsZjG,2026-02-17T03:00:01+00:00,#电影《飞驰人生3》大年初一全国上映#@电影飞驰人生3 送电影票！《飞驰人生3》邀请特种兵们来和平精英体验新春版本——丝路贺新春，更有丝路敦煌、古墓迷途等全新地图与玩法，大吉大利，一起欢乐飞驰！鸡仔也,129,305,143,video,1,和平精英的微博视频,1,飞驰人生3,Movie,gpt
5267249482697600,QsdsUbjLG,2026-02-17T02:00:00+00:00,#超9000万玩家在和平精英过年##大吉大利和平年##和平精英绿洲启元#马年开门红，喜报迎新岁！《和平精英》日活跃用户数突破9000万，绿洲启元日活跃用户数突破5800万！感谢每一位特种兵的支持与陪伴,11,11,69,image,0,#超9000万玩家在和平精英过年#,0,,,gpt
