partner_name,category,region,video_count,total_views,total_video_likes,total_comments,total_comment_likes,comment_likes_partial,avg_views,like_rate_pct,comment_rate_pct,top_videos,date_range_start,date_range_end
Lionel Messi,Artist,Global,5,6434193,3655,300,0,True,1286838.6,0.0568,0.0047,m3jl-j1qSro|PUBG MOBILE | Football Mania is here! (C3S9 Traile; fMISh28KiTw|PUBG MOBILE | Special Message from Lionel Messi; U3jGaCG42o8|PUBG MOBILE | Player Skill Training Video - Messi',2000-01-01,2026-02-05
KFC,Brand,Global,3,6264153,16499,115,0,True,2088051.0,0.2634,0.0018,6cyYG9_xfD4|PUBG MOBILE | KFC Royale Restaurants and Themed It; ly5X_ujVdzk|PUBG MOBILE x KFC | Time to Taste Victory! 🍗 🥇; fS87Dl8E6LM|PUBG MOBILE | KFC Royale Restaurant doors are now ,2000-01-01,2026-02-05
Attack on Titan,Anime,Global,20,6202653,25962,1137,0,True,310132.65,0.4186,0.0183,"SjS7J-Yf4nY|PUBG MOBILE x Attack On Titan | Dedicate Your Hear; NxHsFrcgO7I|PUBG MOBILE x Attack On Titan | Eren Jaeger, the U; nf68Ot2l0sk|PUBG MOBILE x Attack On Titan | Armin Arlert, the ",2025-01-26,2026-01-26
t 2026,IP,Global,1,5976802,589,152,396,True,5976802.0,0.0099,0.0025,TZknYPz6ocE|PUBG MOBILE Producer Talk ｜What's Next 2026,2000-01-01,2026-02-05
t 2026,IP,Global,1,5976658,588,152,0,True,5976658.0,0.0098,0.0025,TZknYPz6ocE|PUBG MOBILE Producer Talk ｜What's Next 2026,2025-01-26,2026-01-26
Aston Martin,Brand,Global,1,5753957,1328,45,0,True,5753957.0,0.0231,0.0008,HiXzpSFqPNk|PUBG MOBILE | Aston Martin Collaboration Live Now!,2000-01-01,2026-02-05
Skibidi Toilet,IP,Global,2,5715245,4797,1390,0,True,2857622.5,0.0839,0.0243,TEWqww6iCK4|PUBG MOBILE X Skibidi Toilet | Collaboration Trail; eQQVz_udQn4|PUBG MOBILE X Skibidi Toilet Collaboration Is Live,2025-01-26,2026-01-26
Metro,Game,Global,26,5415206,13734,1093,5,True,208277.15,0.2536,0.0202,jTwEbFlsOmY|PUBG MOBILE Metro Royale | Fortune Favors The Brav; G12IxplQ2OI|PUBG MOBILE | Metro Royale: Misty Port is LIVE!; VfPVvvnUB5s|PUBG MOBILE | Start your 🪖 Metro Royale Ch. 20 jou,2000-01-01,2026-02-05
Godzilla,Movie,Global,7,5344200,20088,123,0,True,763457.14,0.3759,0.0023,tx0H5DqoVIU|PUBG MOBILE x GODZILLA | Play Together in Godzilla; 96N-tzul7xw|PUBG MOBILE x GODZILLA | Bring Your Godzilla Buddy; V4Vz0OMFKS4|PUBG MOBILE x Godzilla | Unlock Exclusive Godzilla,2025-01-26,2026-01-26
The Walking Dead,Movie,Global,2,5140033,13906,811,0,True,2570016.5,0.2705,0.0158,OVBhuAbdZoo|PUBG MOBILE x Walking Dead -  Trailer; K0JtqoJpvY4|PUBG MOBILE x The Walking Dead - Boardgame,2000-01-01,2026-02-05
Jairo,Artist,Global,1,5046329,2696,125,1684,True,5046329.0,0.0534,0.0025,"iPXGpApvO8U|PUBG MOBILE | Crazy Chicken Day Theme Song, perfor",2000-01-01,2026-02-05
PUBG MOBILE x Porsche Trailer,Brand,Global,1,4877116,733,95,178,True,4877116.0,0.015,0.0019,Ka29yHhLBHs|PUBG x PUBG MOBILE x Porsche Trailer,2000-01-01,2026-02-05
PUBG MOBILE x Porsche Trailer,Brand,Global,1,4877042,734,96,0,True,4877042.0,0.0151,0.002,Ka29yHhLBHs|PUBG x PUBG MOBILE x Porsche Trailer,2025-01-26,2026-01-26
Godzilla vs. Kong,Movie,Global,7,4838367,144618,5157,0,True,691195.29,2.989,0.1066,JUtT1CC-JxM|PUBG MOBILE | PUBG MOBILE x Godzilla vs. Kong is C; R4O9846xFdU|PUBG MOBILE | Get Buddy Godzilla and Buddy Kong Be; OEKI9u6onJ0|PUBG MOBILE | PUBG MOBILE x Godzilla vs. Kong,2000-01-01,2026-02-05
PUBG MOBILE x G,IP,Global,3,4830101,4710,354,1341,True,1610033.67,0.0975,0.0073,rotYhbB4khI|PUBG x PUBG MOBILE x G-DRAGON Collaboration Main T; od4I-E8SZ8Q|PUBG x PUBG MOBILE x G-DRAGON Coming Soon; mnnDZUHtU9Y|PUBG x PUBG MOBILE x G-DRAGON Trailer Behind the S,2000-01-01,2026-02-05
PUBG MOBILE x G,IP,Global,3,4830048,4713,354,0,True,1610016.0,0.0976,0.0073,rotYhbB4khI|PUBG x PUBG MOBILE x G-DRAGON Collaboration Main T; od4I-E8SZ8Q|PUBG x PUBG MOBILE x G-DRAGON Coming Soon; mnnDZUHtU9Y|PUBG x PUBG MOBILE x G-DRAGON Trailer Behind the S,2025-01-26,2026-01-26
Baby Shark,Artist,Global,2,4534051,4557,0,0,False,2267025.5,0.1005,0.0,J_NgVMDSrsA|PUBG MOBILE x Baby Shark | The Treasure Squad | OF; ycg0-cXHSMA|PUBG MOBILE X Baby Shark | Official Music Video,2000-01-01,2026-02-05
Shelby American,IP,Global,1,4503168,2252,20,19,True,4503168.0,0.05,0.0004,HnI4Xa1Izwo|PUBG MOBILE X Shelby American | Unrivalled Power |,2000-01-01,2026-02-05
Shelby American,IP,Global,1,4503139,2251,20,0,True,4503139.0,0.05,0.0004,HnI4Xa1Izwo|PUBG MOBILE X Shelby American | Unrivalled Power |,2025-01-26,2026-01-26
SANParks Honorary Rangers,Other,LATAM,1,4430123,3168,30,37,False,4430123.0,0.0715,0.0007,RNPZz1ffbrg|PUBG MOBILE | 410 Penguin Rescue Operation Short E,2000-01-01,2026-02-05
Spider,IP,Global,1,4351566,5094,157,0,True,4351566.0,0.1171,0.0036,G_OCdzDor2g|PUBG MOBILE x Spider-Man: No Way Home | New York C,2000-01-01,2026-02-05
LINE FRIENDS,IP,Global,3,4148487,17568,320,0,True,1382829.0,0.4235,0.0077,3zYwpFAV4hM|LINE FRIENDS has arrived in PUBG MOBILE | Collabor; OeGV8E7p8OM|PUBG MOBILE | Chicken Dinner with LINE FRIENDS!; WdVENlhQ3W0|PUBG MOBILE | Buddy Up With LINE FRIENDS!,2000-01-01,2026-02-05
Venom: The Last Dance,Movie,Global,1,4125692,20973,716,0,True,4125692.0,0.5084,0.0174,0VJIR35soVk|PUBG MOBILE | Venom: The Last Dance collaboration ,2000-01-01,2026-02-05
Lotus,IP,Global,2,4024772,8546,48,121,True,2012386.0,0.2123,0.0012,dU1bAxgjT2g|PUBG MOBILE x Lotus | Experience Iconic Lotus Cars; XCYiMC9AYPs|PUBG MOBILE x Lotus | Elevate Your Journey,2000-01-01,2026-02-05
Lotus,IP,Global,2,4024701,8551,48,0,True,2012350.5,0.2125,0.0012,dU1bAxgjT2g|PUBG MOBILE x Lotus | Experience Iconic Lotus Cars; XCYiMC9AYPs|PUBG MOBILE x Lotus | Elevate Your Journey,2025-01-26,2026-01-26
-Suit,IP,Global,6,3856468,9849,451,71,True,642744.67,0.2554,0.0117,GdlJOLXbW0A|PUBG MOBILE | Lamborghini + Galadria X-Suit; iGnb9AzqYpU|PUBG MOBILE | Control the power of the Abyss with ; ZPmNbKj4eWU|PUBG MOBILE | Bow Down to the Golden Pharaoh X-Sui,2000-01-01,2026-02-05
G-DRAGON,Artist,Global,1,3837357,261,28,40,True,3837357.0,0.0068,0.0007,SyWo02Vnw4Q|PUBG MOBILE | G-DRAGON’s Greeting to All Players,2000-01-01,2026-02-05
Karol G,Artist,Global,2,3719110,2757,178,0,True,1859555.0,0.0741,0.0048,mEH9YLHdUtI|PUBG MOBILE | Karol G BESTIES Collaboration is LIV; 3J7dLs-o8fE|PUBG MOBILE | Official Karol G Avatar Announcement,2000-01-01,2026-02-05
JVKE,IP,Global,1,3481954,5365,378,0,True,3481954.0,0.1541,0.0109,"OqZetMG5v7c|PUBG MOBILE x JVKE | ""clouds""☁️🎂6th Anniversary Th",2000-01-01,2026-02-05
PDP creator's portrait,IP,Global,1,3404142,4703,24,24,True,3404142.0,0.1382,0.0007,4LzuhzThRYI|PUBG MOBILE | Chicko with PDP creator's portrait,2000-01-01,2026-02-05
PDP creator's portrait,IP,Global,1,3404026,4715,24,0,True,3404026.0,0.1385,0.0007,4LzuhzThRYI|PUBG MOBILE | Chicko with PDP creator's portrait,2025-01-26,2026-01-26
USC Games,IP,Global,1,3399298,394,22,61,False,3399298.0,0.0116,0.0006,pyf5GbZBrt4|PUBG MOBILE | WOW X USC Games Collaboration,2000-01-01,2026-02-05
USC Games,IP,Global,1,3399278,394,23,0,True,3399278.0,0.0116,0.0007,pyf5GbZBrt4|PUBG MOBILE | WOW X USC Games Collaboration,2025-01-26,2026-01-26
Volkswagen,IP,Global,3,3307995,1160,58,0,True,1102665.0,0.0351,0.0018,aRtJM0Sr3Eg|PUBG MOBILE x Volkswagen | Catch The Beetle Vibe!; qT_qTNTnlRo|PUBG MOBILE x Volkswagen | Chill drive with the Be; sGAaO938A_8|PUBG MOBILE x Volkswagen Shines Bright!,2000-01-01,2026-02-05
Zaha Hadid Architects,IP,Global,3,3270969,2580,190,0,True,1090323.0,0.0789,0.0058,tc0pQ4Q7kJo|PUBG MOBILE x Zaha Hadid Architects Collaboration; QxlWTD5mqyM|PUBG MOBILE x Zaha Hadid Architects | Medical Cent; vw0amCdldOE|PUBG MOBILE x Zaha Hadid Architects | Behind The S,2000-01-01,2026-02-05
Warframe,Game,Global,2,2958781,2986,216,0,True,1479390.5,0.1009,0.0073,8zJUn064Bgo|PUBG MOBILE x Warframe | RPM9 Teaser; mq26lnjrdF4|PUBG MOBILE | RPM9 ending soon,2000-01-01,2026-02-05
SKAI ISYOURGOD,Artist,Global,4,2938046,20643,523,3798,True,734511.5,0.7026,0.0178,gyqOmnnEff8|PUBG MOBILE x 揽佬 SKAI ISYOURGOD | Blueprint Suprem; 8BgSL2VIh00|PUBG MOBILE x SKAI ISYOURGOD | Limited Time Bluepr; exSGK5Biyi4|PUBG MOBILE x 揽佬 SKAI ISYOURGOD | Blueprint Suprem,2000-01-01,2026-02-05
TESLA,Brand,Global,1,2844276,2665,230,0,True,2844276.0,0.0937,0.0081,"GSWQP_iBGtI|""EVOLVE"" - PUBG MOBILE & TESLA Collaboration Theme",2000-01-01,2026-02-05
BRUCELEE Collection,IP,Global,1,2838822,638,38,0,True,2838822.0,0.0225,0.0013,19gp2kBu5q0|PUBG MOBILE | #PUBGMxBRUCELEE Collection,2000-01-01,2026-02-05
FAMILY,IP,Global,1,2834665,19847,192,0,True,2834665.0,0.7002,0.0068,hUTg_tvpyww|PUBG MOBILE | Battle Starts! SPYxFAMILY Collaborat,2000-01-01,2026-02-05
Ducati,IP,Global,2,2666825,2404,153,0,True,1333412.5,0.0901,0.0057,I8T-K880ekU|PUBG MOBILE X Ducati | Race To Victory | Collabora; 2P6DE0J7GtE|PUBG MOBILE X Ducati Collaboration Live now!,2000-01-01,2026-02-05
Venom,Movie,Global,10,2554987,15709,703,0,True,255498.7,0.6148,0.0275,I8sa-hkq9to|PUBG MOBILE x Venom: The Last Dance | Take The Lea; 8CC7HaPZcXU|PUBG MOBILE x Venom: The Last Dance Collaboration ; A2ehpG3Y1xs|PUBG MOBILE x Venom: The Last Dance Collaboration ,2000-01-01,2026-02-05
tourist,IP,Global,1,2554627,10278,36,39,True,2554627.0,0.4023,0.0014,5T0Ye7cK_Yo|PUBG MOBILE | Dancing with tourist,2000-01-01,2026-02-05
tourist,IP,Global,1,2554596,10297,36,0,True,2554596.0,0.4031,0.0014,5T0Ye7cK_Yo|PUBG MOBILE | Dancing with tourist,2025-01-26,2026-01-26
Kaiju No. 8,Anime,Global,3,2547354,2715,227,399,True,849118.0,0.1066,0.0089,"s31-h_J8QnI|PUBG MOBILE x Kaiju No. 8 | One Squad, Unstoppable; U4M4Z46GcdA|PUBG MOBILE x Kaiju No. 8 Collaboration | Availabl; kLT-cjQoSJI|PUBG MOBILE x Kaiju No. 8 | Don’t Miss the Epic Co",2000-01-01,2026-02-05
Balenciaga,Brand,Global,2,2522891,178,18,19,True,1261445.5,0.0071,0.0007,waHoynDOM4Y|PUBG MOBILE | Champions Moment; nIQXp0eTMYQ|PUBG MOBILE | 410 Balenciaga Collab Bangkok Store ,2000-01-01,2026-02-05
"SANParks Honorary Rangers, SANCCOB, Wildlife Conservation Network, Global Penguin Society",Other,Global,1,2511316,718,90,218,True,2511316.0,0.0286,0.0036,cSfiCIDwAqM|PUBG MOBILE |  410 Penguin Rescue Operation Memori,2000-01-01,2026-02-05
